time,steer,accel,brake,gear,speedX,speedY,speedZ,frontLeftSpin,frontRightSpin,rearLeftSpin,rearRightSpin,trackPos,distFromStart,angle,rpm,damage,track_0,track_1,track_2,track_3,track_4,track_5,track_6,track_7,track_8,track_9,track_10,track_11,track_12,track_13,track_14,track_15,track_16,track_17,track_18,focus_0,focus_1,focus_2,focus_3,focus_4
12.15,0.3469286363636364,0.9866365391170948,1.5440341932380425e-29,4,102.578,-6.7158,-3.7449,94.9971,90.731,99.5699,99.5699,0.717341,483.12,-0.197398,8379.55,0.0,2.07804,3.91159,6.34065,36.4695,34.3276,33.3017,32.7671,32.3065,31.9817,31.6601,31.3419,31.027,30.5916,30.1022,29.2077,27.5083,24.934,21.8427,14.536,-1.0,-1.0,-1.0,-1.0,-1.0
20.742,0.0,0.9999999999998196,2.6097734623466736e-33,4,197.352,-1.53605,0.154476,180.886,181.016,179.422,179.422,0.769297,867.248,0.0126731,15100.4,0.0,1.98287,4.41452,7.08042,12.6666,24.2382,44.7168,81.4406,138.088,144.976,150.093,154.376,158.138,162.805,167.524,129.01,78.9642,48.1898,31.4519,14.8263,-1.0,-1.0,-1.0,-1.0,-1.0
2.6,0.24,0.9999999999999998,0.0,4,112.128,0.0188671,2.00865,102.803,102.379,103.994,103.994,-0.12233,30.5822,0.124715,8754.12,0.0,11.11,34.4597,90.6521,176.706,80.7468,57.6951,50.0831,44.906,41.8219,39.137,36.7787,34.6909,32.1407,29.6548,25.911,20.723,15.6124,11.7204,6.62662,-1.0,-1.0,-1.0,-1.0,-1.0
10.85,0.3409870454545454,6.412018837325031e-08,2.0536671962969798e-07,4,104.589,-11.8195,-4.72544,97.2539,93.013,94.204,89.6848,0.917487,446.736,-0.0462184,7736.78,0.0,0.674488,1.41939,2.27113,38.1498,35.7098,34.4652,33.7927,33.1994,32.7729,32.3441,31.9133,31.482,30.8983,30.2626,29.1534,27.215,24.6353,21.7252,14.9271,-1.0,-1.0,-1.0,-1.0,-1.0
46.946,0.3837765454545455,1.820412139776501e-21,1.8090065219059795e-10,4,90.1064,-8.78473,-8.95732,84.2226,79.7366,81.8115,76.9956,0.596047,2449.84,-0.147302,6680.86,24.0,3.14522,30.1588,26.352,24.3743,23.4051,22.9719,22.7536,22.5696,22.442,22.3175,22.1961,22.0776,21.9136,21.725,21.3687,20.6466,19.425,17.7361,12.8147,-1.0,-1.0,-1.0,-1.0,-1.0
9.73,0.2736825,3.0933495790017004e-10,1.3879087924746522e-08,4,127.369,-9.23271,-3.572,117.838,114.855,113.303,109.983,0.0660051,407.763,-0.441268,9393.54,0.0,6.0356,9.19782,12.2524,46.3245,43.7465,42.4586,41.773,41.1741,40.747,40.3206,39.8951,39.4703,38.8774,38.2022,36.9445,34.4702,30.5093,25.438,13.0617,-1.0,-1.0,-1.0,-1.0,-1.0
9.35,0.2268027272727273,2.3918672197118452e-08,0.7254247744826892,4,143.236,-7.49082,-4.14519,116.354,112.065,122.34,118.11,-0.580019,391.678,-0.197358,10105.5,0.0,11.394,18.9164,55.8172,50.4463,47.0651,45.3326,44.3979,43.5738,42.9816,42.3866,41.7888,41.1883,40.3431,39.3705,37.5285,33.7755,27.323,17.8282,4.54253,-1.0,-1.0,-1.0,-1.0,-1.0
0.602,0.0,0.9999999998651536,0.0,1,22.5371,-0.000461243,0.284225,20.5947,20.5944,39.1638,39.1638,0.331005,3600.11,0.00888937,6918.3,0.0,5.72775,12.8113,24.1546,135.772,88.0933,74.9977,69.506,65.3304,62.6479,60.1815,57.906,55.8006,53.1042,50.3337,45.871,38.9486,30.3119,22.3843,11.1949,-1.0,-1.0,-1.0,-1.0,-1.0
48.406,-0.3790708409090909,0.0132295244425657,4.685018313752099e-25,4,91.6991,1.25569,-14.3621,82.1384,84.0685,80.3628,81.0802,-0.366069,2484.44,0.388252,6792.08,0.0,12.6922,19.1891,21.8309,24.0058,25.434,26.184,26.5936,26.9577,27.2211,27.4875,27.7566,28.0286,28.4142,28.8615,29.7193,31.5137,34.7403,11.1847,4.29972,-1.0,-1.0,-1.0,-1.0,-1.0
9.83,0.3141509090909091,4.271446475052832e-12,1.3879089459717586e-08,4,113.672,-9.68718,-3.25787,105.167,101.98,101.496,98.0656,0.0786959,409.699,-0.449833,8395.4,0.0,5.92932,8.91081,11.6379,46.9934,44.4092,43.1172,42.4291,41.8279,41.3992,40.9711,40.5437,40.117,39.5211,38.8424,37.5779,35.0874,31.0935,25.9638,13.3417,-1.0,-1.0,-1.0,-1.0,-1.0
47.286,0.4156968636363636,5.753401330651657e-21,3.578148763088961e-07,4,79.3026,-0.564556,-4.03281,74.5775,70.7932,71.7946,68.0174,0.651186,2462.03,0.167666,5882.19,7.0,10.2378,46.7518,23.2007,19.9569,18.6005,18.0069,17.7104,17.4616,17.2897,17.1224,16.9596,16.8012,16.5863,16.3504,15.9338,15.1912,14.1772,13.1203,10.9538,-1.0,-1.0,-1.0,-1.0,-1.0
11.47,0.3471413636363636,4.175984878722519e-21,7.342144963586417e-25,4,102.506,-6.33522,-2.6975,95.4669,91.6287,92.1547,88.1613,0.575793,470.083,0.0172668,7585.83,0.0,3.66331,8.23203,37.874,34.5467,32.6491,31.7297,31.2476,30.8301,30.5346,30.2412,29.95,29.6612,29.2607,28.8086,27.9772,26.3757,23.8966,20.8236,13.1055,-1.0,-1.0,-1.0,-1.0,-1.0
25.076,-0.1625,0.999999999822838,1.1790685653455267e-22,4,211.537,5.88823,1.47692,192.282,194.496,193.069,193.069,0.488702,1102.76,-0.0136512,16248.5,0.0,4.28047,9.06436,13.866,22.656,36.7984,53.5829,70.8361,97.8249,111.542,121.433,129.919,137.612,147.536,158.067,176.315,82.4697,45.9146,28.5711,12.8081,-1.0,-1.0,-1.0,-1.0,-1.0
